name,node_id_cooc,node_id_core,node_id_chem
mincemeat,1023,1023,1023
mint,1024,1024,1024
mirasol_chile,1025,1025,1025
mirepoix,1026,1026,1026
mirin,1027,1027,1027
miso,1028,1028,1028
mitsuba,1029,1029,1029
mixed_grains,1030,1030,1030
mixed_herbs,1031,1031,1031
mixed_seeds,1032,1032,1032
mixed_sprouts,1033,1033,1033
mixed_vegetable,1034,1034,1034
mizuame,1035,1035,1035
mizuna,1036,1036,1036
mocha,1037,1037,1037
mochi,1038,1038,1038
mojo,1039,1039,1039
molasses,1040,1040,1040
mole,1041,1041,1041
monk_fruit,1042,1042,1042
monkfish,1043,1043,1043
montasio_cheese,1044,1044,1044
monterey_jack_cheese,1045,1045,1045
montreal_steak_seasoning,1046,1046,1046
mopping_sauce,1047,1047,1047
morel_mushroom,1048,1048,1048
moringa,1049,1049,1049
mortadella,1050,1050,1050
moscatel_wine,1051,1051,1051
mountain_pepper,1052,1052,1052
mozzarella_cheese,1053,1053,1053
msg,1054,1054,1054
mudfish,1055,1055,1055
mudskipper,1056,1056,1056
muenster_cheese,1057,1057,1057
muffin,1058,1058,1058
mugwort,1059,1059,1059
mulato_chile,1060,1060,1060
mulberry,1061,1061,1061
mulberry_leaf,1062,1062,1062
mullet,1063,1063,1063
mulling_spice,1064,1064,1064
mung_bean,1065,1065,1065
mung_bean_jelly,1066,1066,1066
mung_bean_paste,1067,1067,1067
mung_bean_starch,1068,1068,1068
muscovado_sugar,1069,1069,1069
mushroom,1070,1070,1070
mushroom_soy_sauce,1071,1071,1071
mushroom_stock,1072,1072,1072
mussel,1073,1073,1073
mustard,1074,1074,1074
mustard_green,1075,1075,1075
mustard_oil,1076,1076,1076
mustard_root,1077,1077,1077
mustard_seed,1078,1078,1078
mutton,1079,1079,1079
myoga,1080,1080,1080
myzithra_cheese,1081,1081,1081
naan,1082,1082,1082
nameko_mushroom,1083,1083,1083
nanohana,1084,1084,1084
napa_cabbage,1085,1085,1085
narsharab,1086,1086,1086
nasturtium,1087,1087,1087
natto,1088,1088,1088
navy_bean,1089,1089,1089
nduja,1090,1090,1090
nectar,1091,1091,1091
nectarine,1092,1092,1092
needlefish,1093,1093,1093
nerikiri,1094,1094,1094
nettle,1095,1095,1095
neufchatel_cheese,1096,1096,1096
new_mexico_chile,1097,1097,1097
nigari,1098,1098,1098
nigella_seed,1099,1099,1099
noodle,1100,1100,1100
nopal,1101,1101,1101
nora_chile,1102,1102,1102
nori,1103,1103,1103
nougat,1104,1104,1104
nut,1105,1105,1105
